Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,latitude,longitude
Palestine,2009,All ages,Both,Liver cancer,"Deaths per 100,000",2.544863845,2.261276666,2.844204828,31.952162,35.233154
Palestine,2010,All ages,Both,Liver cancer,"Deaths per 100,000",2.610131087,2.324672219,2.895501086,31.952162,35.233154
Palestine,2011,All ages,Both,Liver cancer,"Deaths per 100,000",2.653549394,2.370844048,2.945856383,31.952162,35.233154
Palestine,2012,All ages,Both,Liver cancer,"Deaths per 100,000",2.636571355,2.372227948,2.915559654,31.952162,35.233154
Palestine,2013,All ages,Both,Liver cancer,"Deaths per 100,000",2.691136238,2.427633082,2.970056506,31.952162,35.233154
Palestine,2014,All ages,Both,Liver cancer,"Deaths per 100,000",2.753513688,2.490911567,3.045081618,31.952162,35.233154
Palestine,2015,All ages,Both,Liver cancer,"Deaths per 100,000",2.750501834,2.471363191,3.083456628,31.952162,35.233154
Palestine,2016,All ages,Both,Liver cancer,"Deaths per 100,000",2.721234102,2.412913599,3.067697673,31.952162,35.233154
Palestine,2017,All ages,Both,Liver cancer,"Deaths per 100,000",2.757645973,2.396944048,3.190881502,31.952162,35.233154
Palestine,2018,All ages,Both,Liver cancer,"Deaths per 100,000",2.800392333,2.382512335,3.313824122,31.952162,35.233154
Palestine,2019,All ages,Both,Liver cancer,"Deaths per 100,000",2.869603607,2.387780256,3.466828443,31.952162,35.233154
Jordan,1990,All ages,Both,Liver cancer,"Deaths per 100,000",1.064576133,0.846499578,1.312839264,30.585164,36.238414
Jordan,1991,All ages,Both,Liver cancer,"Deaths per 100,000",1.062851216,0.840360811,1.31580059,30.585164,36.238414
Jordan,1992,All ages,Both,Liver cancer,"Deaths per 100,000",1.063767598,0.841378167,1.319719326,30.585164,36.238414
Jordan,1993,All ages,Both,Liver cancer,"Deaths per 100,000",1.084749851,0.881074981,1.343984481,30.585164,36.238414
Jordan,1994,All ages,Both,Liver cancer,"Deaths per 100,000",1.094512108,0.886663361,1.348621297,30.585164,36.238414
Jordan,1995,All ages,Both,Liver cancer,"Deaths per 100,000",1.102096835,0.891417305,1.356869296,30.585164,36.238414
Jordan,1996,All ages,Both,Liver cancer,"Deaths per 100,000",1.098809733,0.889204995,1.344286979,30.585164,36.238414
Jordan,1997,All ages,Both,Liver cancer,"Deaths per 100,000",1.096620928,0.880755819,1.345783171,30.585164,36.238414
Jordan,1998,All ages,Both,Liver cancer,"Deaths per 100,000",1.099014565,0.886699099,1.353104232,30.585164,36.238414
Jordan,1999,All ages,Both,Liver cancer,"Deaths per 100,000",1.100936229,0.892985566,1.344359273,30.585164,36.238414
Jordan,2000,All ages,Both,Liver cancer,"Deaths per 100,000",1.090937358,0.891310335,1.328067855,30.585164,36.238414
Jordan,2001,All ages,Both,Liver cancer,"Deaths per 100,000",1.096839126,0.907845447,1.326565052,30.585164,36.238414
Jordan,2002,All ages,Both,Liver cancer,"Deaths per 100,000",1.120142585,0.944500216,1.333132292,30.585164,36.238414
Jordan,2003,All ages,Both,Liver cancer,"Deaths per 100,000",1.136827484,0.96167379,1.339112287,30.585164,36.238414
Jordan,2004,All ages,Both,Liver cancer,"Deaths per 100,000",1.160366069,0.992573307,1.353255399,30.585164,36.238414
Jordan,2005,All ages,Both,Liver cancer,"Deaths per 100,000",1.142318057,0.988027457,1.327398107,30.585164,36.238414
Jordan,2006,All ages,Both,Liver cancer,"Deaths per 100,000",1.114455077,0.973401896,1.291982298,30.585164,36.238414
Jordan,2007,All ages,Both,Liver cancer,"Deaths per 100,000",1.064880527,0.934184758,1.22648267,30.585164,36.238414
Jordan,2008,All ages,Both,Liver cancer,"Deaths per 100,000",1.016164173,0.894882735,1.157781435,30.585164,36.238414
Jordan,2009,All ages,Both,Liver cancer,"Deaths per 100,000",1.007563331,0.887559011,1.140894912,30.585164,36.238414
Jordan,2010,All ages,Both,Liver cancer,"Deaths per 100,000",1.011575642,0.884136787,1.145884024,30.585164,36.238414
Jordan,2011,All ages,Both,Liver cancer,"Deaths per 100,000",1.011573083,0.878599839,1.157125751,30.585164,36.238414
Jordan,2012,All ages,Both,Liver cancer,"Deaths per 100,000",1.001773124,0.853168547,1.15269265,30.585164,36.238414
Jordan,2013,All ages,Both,Liver cancer,"Deaths per 100,000",1.001732292,0.846219507,1.168153311,30.585164,36.238414
Jordan,2014,All ages,Both,Liver cancer,"Deaths per 100,000",1.027156993,0.863053599,1.205986158,30.585164,36.238414
Jordan,2015,All ages,Both,Liver cancer,"Deaths per 100,000",1.055802923,0.879752912,1.25423894,30.585164,36.238414
Jordan,2016,All ages,Both,Liver cancer,"Deaths per 100,000",1.091489183,0.891128068,1.323004908,30.585164,36.238414
Jordan,2017,All ages,Both,Liver cancer,"Deaths per 100,000",1.127195927,0.916080758,1.37865634,30.585164,36.238414
Jordan,2018,All ages,Both,Liver cancer,"Deaths per 100,000",1.170932695,0.955850754,1.449456183,30.585164,36.238414
Jordan,2019,All ages,Both,Liver cancer,"Deaths per 100,000",1.213899968,0.975277382,1.519874325,30.585164,36.238414
